"","word_count","sd","ave_sentiment","source","doi","title","comment_rank"
"1",62,0.382825783375993,0.413648350278789,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"2",13,0.222775619532968,-0.166374600550532,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"3",55,0.277807838328049,0.150862928864259,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"4",70,NA,0.360530395469676,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"5",7,NA,0,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"6",42,0.31557036968376,0.266867511909963,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"7",580,0.567548886930944,0.635566675083597,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"8",136,0.503511396470425,0.0609861807291237,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"9",119,0.477405885537481,0.372749251843099,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"10",34,0.243863339280599,0.391033755329907,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"11",59,1.26025704863475,-0.183464569827417,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"12",35,0,0,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"13",53,0.191389986201375,0.217248867874086,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"14",48,0.195624895709109,0.925720334675178,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"15",63,0,0,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"16",50,0.0796163658899779,0.0957290157735304,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"17",34,NA,0.387744276710412,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"18",26,0,0,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"19",39,NA,-0.912743926973532,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"20",20,0,0,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"21",17,NA,0,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"22",216,2.15940889974356,2.061747313728,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"23",37,0.951250139582955,0.704008903361943,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"24",13,NA,0.6372396045607,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"25",223,1.04840593821672,0.519361248036846,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"26",16,NA,0.5084475238125,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"27",59,0,0,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"28",42,0.102328127011434,0.105730996121664,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"29",31,0,0,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"30",126,1.52361081956609,1.22802683846459,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"31",133,0.502030155635231,0.0775343907814142,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"32",11,NA,0,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"33",44,0.266349503467296,0.244647999883451,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"34",42,0.57862329984812,0.732602926779074,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"35",264,0.0905146143468299,0.95592057834951,"medrxiv","10.1101/2020.03.09.20033217","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","10"
"36",56,0.261981893245923,0.281512670313628,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"37",85,0.172216532434322,0.0617253020031362,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"38",26,1.09292616891667,-0.45787521475664,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"39",93,0.678655260459943,0.325603615057217,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"40",114,1.71241962329146,0.538491365151085,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
"41",108,0.196907825215184,0.166518489817145,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"42",47,NA,0,"medrxiv","10.1101/2020.03.22.20040758","Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial","7"
"43",23,0.24982714936952,0.192795860345021,"medrxiv","10.1101/2020.03.11.20031096","Relationship between the ABO Blood Group and the COVID-19 Susceptibility","5"
"44",23,0,0,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"45",28,0.397172611748476,0.166788580695003,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"46",66,0,0,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
"47",105,0.46515176342082,0.436003106546232,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"48",232,0.541245179195746,0.290621296665954,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"49",109,0.381649012038216,0.401608625329592,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
"50",99,0.801302127617354,0.48700181468345,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
"51",133,0.506700602041341,0.185330097542398,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
"52",107,0.493720057809525,-0.278502385222628,"medrxiv","10.1101/2020.03.22.20040758","Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial","7"
"53",32,0.0947657180263037,0.0731323164203865,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
"54",400,0.879521068506213,0.811044734584586,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"55",112,NA,0.0618850156344126,"medrxiv","10.1101/2020.03.24.20042937","Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study","2"
"56",9,NA,0,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
"57",22,0.364225742635121,0.281079200512663,"medrxiv","10.1101/2020.03.27.20043752","Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator-days and deaths by US state in the next 4 months","6"
